month,riders_2018,riders_2019,riders_change,percent_change
"January  ",40932,69872,28940,70.7000 %
"February ",62817,80466,17649,28.1000 %
"March    ",62985,102369,39384,62.5300 %
"April    ",98194,166694,68500,69.7600 %
"May      ",178865,223084,44219,24.7200 %
"June     ",205359,274022,68663,33.4400 %
"July     ",242916,316931,74015,30.4700 %
"August   ",236076,337443,101367,42.9400 %
September,236182,363185,127003,53.7700 %
"October  ",200100,305504,105404,52.6800 %
"November ",121419,190759,69340,57.1100 %
"December ",81961,92208,10247,12.5000 %
